Name;Country name EN;Population;Elevation;Coordinates
Mons;Belgium;95299;;50.45413,3.95229
Namur;Belgium;110939;;50.4669,4.86746
Liège;Belgium;195278;;50.63373,5.56749
Arlon;Belgium;26179;;49.68333,5.81667
Wavre;Belgium;34305;;50.71717,4.60138
LLN;Belgium;29521;;50.66829,4.61443
Brussels;Belgium;1019022;;50.85045,4.34878
Antwerpen;Belgium;529247;;51.22047,4.40026
Hasselt;Belgium;77651;;50.93106,5.33781
Gent;Belgium;265086;;51.05,3.71667
Brugge;Belgium;118509;;51.20892,3.22424
Leuven;Belgium;101032;;50.87959,4.70093